time,precipitation_mm
2019-07-11,2.158865
2019-07-12,0.7455066
2019-07-13,0.80949056
2019-07-14,0.99863636
2019-07-15,0.05752425
2019-07-16,0.16538116
2019-07-17,0.99218017
2019-07-18,1.8472648
2019-07-19,6.918914
2019-07-20,6.97486
2019-07-21,0.31090325
2019-07-22,1.9084872
2019-07-23,0.20009571
2019-07-24,2.8943634
2019-07-25,0.013942165
2019-07-26,1.8162457
2019-07-27,12.590706
2019-07-28,2.6670516
2019-07-29,0.26198378
2019-07-30,3.0214007
2019-07-31,4.4808917
2019-08-01,1.3653634
2019-08-02,0.31644523
2019-08-03,0.175388
2019-08-04,0.80537593
2019-08-05,1.4552081
2019-08-06,1.2340915
2019-08-07,0.5592734
2019-08-08,1.3074052
2019-08-09,12.713877
2019-08-10,1.8618462
2019-08-11,1.4574659
2019-08-12,4.9560437
2019-08-13,1.6978706
2019-08-14,9.026356
2019-08-15,0.54730326
2019-08-16,10.117087
2019-08-17,0.75610137
2019-08-18,1.0939368
2019-08-19,1.6672956
2019-08-20,0.39695433
2019-08-21,0.086282425
2019-08-22,1.232676
2019-08-23,0.0019036233
2019-08-24,-4.4703484e-05
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,0.37336493
2019-08-28,2.0803537
2019-08-29,0.11970795
2019-08-30,0.063390955
2019-08-31,0.044260707
2019-09-01,0.31135923
2019-09-02,0.456562
2019-09-03,0.26879805
2019-09-04,3.8979006
2019-09-05,0.19944751
2019-09-06,1.2211337
2019-09-07,0.36953133
2019-09-08,0.043850478
2019-09-09,3.1823583
2019-09-10,0.16915807
2019-09-11,2.2034752
2019-09-12,0.77742124
2019-09-13,0.41572174
2019-09-14,0.0013143178
2019-09-15,0.55743045
2019-09-16,1.0537772
2019-09-17,0.07699705
2019-09-18,0.0011759499
2019-09-19,0.0006074884
2019-09-20,0.0013239859
2019-09-21,0.0
2019-09-22,2.3728316
2019-09-23,3.1231182
2019-09-24,16.580908
2019-09-25,4.81337
2019-09-26,5.1234636
2019-09-27,4.052125
2019-09-28,6.1713934
2019-09-29,16.31659
2019-09-30,9.437035
2019-10-01,8.469006
2019-10-02,0.27701232
2019-10-03,2.811709
2019-10-04,4.8498716
2019-10-05,0.6341717
2019-10-06,12.351708
2019-10-07,2.6465302
2019-10-08,1.0408138
2019-10-09,3.6754694
2019-10-10,1.1957546
2019-10-11,5.7067847
2019-10-12,4.415495
2019-10-13,9.214579
2019-10-14,15.251384
2019-10-15,2.3739977
2019-10-16,5.2779503
2019-10-17,2.730251
2019-10-18,6.2411985
2019-10-19,2.0489223
2019-10-20,0.8337113
2019-10-21,5.20811
2019-10-22,0.06191415
2019-10-23,2.9336264
2019-10-24,7.440219
2019-10-25,7.151621
2019-10-26,12.782566
2019-10-27,0.07597304
2019-10-28,0.4176839
2019-10-29,0.7445761
2019-10-30,0.58917284
2019-10-31,0.42137158
2019-11-01,9.02292
2019-11-02,8.30154
2019-11-03,1.8868601
2019-11-04,4.4771404
2019-11-05,3.508175
2019-11-06,1.7202373
2019-11-07,15.202806
2019-11-08,3.2213352
2019-11-09,5.276149
2019-11-10,1.0508425
2019-11-11,8.240005
2019-11-12,4.2694364
2019-11-13,2.6357305
2019-11-14,10.987589
2019-11-15,6.076791
2019-11-16,1.4684945
2019-11-17,2.296851
2019-11-18,0.4399276
2019-11-19,0.11683131
2019-11-20,0.02075022
2019-11-21,1.4710573
2019-11-22,3.1640582
2019-11-23,5.986116
2019-11-24,0.4737615
2019-11-25,4.3790774
2019-11-26,3.8543642
2019-11-27,13.175776
2019-11-28,4.8315973
2019-11-29,0.9800689
2019-11-30,0.14843446
2019-12-01,0.57734495
2019-12-02,0.070848286
2019-12-03,0.029897317
2019-12-04,0.012154291
2019-12-05,0.27446076
2019-12-06,3.77081
2019-12-07,0.35132593
2019-12-08,3.831667
2019-12-09,2.0796154
2019-12-10,3.9161406
2019-12-11,1.6609068
2019-12-12,11.258741
2019-12-13,4.897785
2019-12-14,3.6333663
2019-12-15,3.5035
